CPT_code,CodeDescription,Code_Category
86152,Cell enumeration &id,CLINICAL LABORATORY SERVICES (80000 series)
86153,Cell enumeration phys interp,CLINICAL LABORATORY SERVICES (80000 series)
86890,Autologous blood process,CLINICAL LABORATORY SERVICES (80000 series)
86891,Autologous blood op salvage,CLINICAL LABORATORY SERVICES (80000 series)
86927,Plasma fresh frozen,CLINICAL LABORATORY SERVICES (80000 series)
86930,Frozen blood prep,CLINICAL LABORATORY SERVICES (80000 series)
86931,Frozen blood thaw,CLINICAL LABORATORY SERVICES (80000 series)
86932,Frozen blood freeze/thaw,CLINICAL LABORATORY SERVICES (80000 series)
86945,Blood product/irradiation,CLINICAL LABORATORY SERVICES (80000 series)
86950,Leukacyte transfusion,CLINICAL LABORATORY SERVICES (80000 series)
86960,Vol reduction of blood/prod,CLINICAL LABORATORY SERVICES (80000 series)
86965,Pooling blood platelets,CLINICAL LABORATORY SERVICES (80000 series)
86985,Split blood or products,CLINICAL LABORATORY SERVICES (80000 series)
0011M,Onc prst8 ca mrna 12 gen alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0012M,Onc mrna 5 gen rsk urthl ca,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0013M,Onc mrna 5 gen recr urthl ca,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0016M,Onc bladder mrna 219 gen alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0017M,Onc dlbcl mrna 20 genes alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0019M,Cv ds plasma alys prtn bmrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0020M,Onc cns alys 30000 dna loci,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0640T,Ncntc ifr spctrsc o/t pad 1,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0859T,Ncntc ifr spctrsc o/t pad ea,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0860T,Ncntc ifr spctrsc scr pad,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0898T,N-invas prst8 cancer est map,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0018U,Onc thyr 10 microrna seq alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0019U,Onc rna tiss predict alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0021U,Onc prst8 detcj 8 autoantb,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0022U,Tgsap nsm lung neo dna&rna23,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0023U,Onc aml dna detcj/nondetcj,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0024U,Glyca nuc mr spectrsc quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0025U,Tenofovir liq chrom ur quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0026U,Onc thyr dna&mrna 112 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0027U,Jak2 gene trgt seq alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0029U,Rx metab advrs trgt seq alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0030U,Rx metab warf trgt seq alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0031U,Cypia2 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0032U,Comt gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0033U,Htr2a htr2c genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0034U,Tpmt nudt15 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0035U,Neuro csf prion prtn qual,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0036U,Xome tum & nml spec seq alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0037U,Trgt gen seq rgt gen seq dna 324 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0038U,Vitamin d srm microsamp quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0039U,Dna antb 2strand hi avidity,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0040U,Bcr/abl1 gene major bp quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0041U,B brgdrferi antb 5 prtn igm,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0042U,B brgdrferi antb 12 prtn igg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0043U,Tbrg b grp antb 4 prtn igm,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0044U,Tbrf b grp antb 4 prtn igg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0045U,Onc brst dux carc is 12 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0046U,Flt3 genie itd variants quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0047U,Onc prst8 mrna 17 gene alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0048U,Onc sld org neo dna 468 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0049U,Npm1 gene analysis quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0050U,Trgt gen seq dna 194 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0051U,Rx mntr lc-ms/ms ur 31 pnl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0052U,Lpoprtn bld w/5 maj classes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0054U,Rx mntr 14+ drugs & sbsts,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0055U,Card hrt trnspl 96 dna seq,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0058U,Onc merkel cll carc srm quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0059U,Onc merkel cll carc srm+/-,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0060U,Twn zyg gen seq alys chrms2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0061U,Tc meas 5 bmrk sfdi m-s alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0095U,Ee 2 prtn bmrk elisa est,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0153U,Onc breast mrna 101 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0154U,Onc urthl ca rna fgfr3 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0155U,Onc brst ca dna pik3ca gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0172U,Onc sld tum alys brca1 brca2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0174U,Onc solid tumor 30 prtn trgt,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0177U,Onc brst ca dna pik3ca 11,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0179U,Onc nonsm cll lng ca alys 23,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0202U,Nfct ds 22 trgt sars-cov-2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0223U,Nfct ds 22 trgt sars-cov-2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0224U,Antibody sars-cov-2 titer(s),CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0225U,Nfct ds dna&rna 21 sarscov2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0226U,Svnt sarscov2 elisa plsm srm,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0229U,Bcat1&ikzf1 prmtr mthln alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0230U,Ar full sequence analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0231U,Cacna1a full gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
