PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
73177-101,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,KETAMINE HYDROCHLORIDE,10 mg/1 mL,CIII,73177-101-02,"5 mL in 1 SYRINGE, PLASTIC (73177-101-02) ",2024-1
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-05,"50 mL in 1 SYRINGE, PLASTIC (73177-102-05) ",2024-1
71285-0431,HUMAN COMPOUNDED DRUG,Trophamine 3.5%/Dextrose 10% and Heparin 125 units 250ml bag,Trophamine 3.5%/Dextrose 10% and Heparin 125 units 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; GLUTAMIC ACID; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; HEPARIN SODIUM; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE,.021 g/250 mL; .42 g/250 mL; 1.05 g/250 mL; .021875 g/250 mL; 25 g/250 mL; 1.225 g/250 mL; .2975 g/250 mL; .4375 g/250 mL; .595 g/250 mL; .28 g/250 mL; .7175 g/250 mL; .4725 g/250 mL; .315 g/250 mL; .42 g/250 mL; .175 g/250 mL; .6825 g/250 mL; 125 U/250 mL; 1.05 g/250 mL; .3325 g/250 mL; .0385 g/250 mL; .21 g/250 mL; .3675 g/250 mL,,71285-0431-1,250 mL in 1 BAG (71285-0431-1) ,2024-1
71285-6054,HUMAN COMPOUNDED DRUG,Diltiazem 125mg added to D5W,Diltiazem 125mg added to D5W,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",DILTIAZEM HYDROCHLORIDE,125 mg/125 mL,,71285-6054-1,125 mL in 1 BAG (71285-6054-1) ,2024-1
72934-2391,HUMAN COMPOUNDED DRUG,Prooxia Cream,141068 LACTIC ACID 10% / NIACINAMIDE 4%,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,NIACINAMIDE; LACTIC ACID,4 g/100 mL; 10 g/100 mL,,72934-2391-2,"30 mL in 1 BOTTLE, PUMP (72934-2391-2) ",2023-2
72934-1436,HUMAN COMPOUNDED DRUG,Nendrux Gel,221034 LIDOCAINE 5% / SALICYLIC ACID 40%,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,SALICYLIC ACID; LIDOCAINE,40 g/100 mL; 5 g/100 mL,,72934-1436-2,"30 mL in 1 BOTTLE, PUMP (72934-1436-2) ",2023-2
72934-1411,HUMAN COMPOUNDED DRUG,Adeinzde Gel,011534 ADAPALENE 0.1% / BENZOYL PEROXIDE 2.5% / CLINDAMYCIN 1% Gel,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,BENZOYL PEROXIDE; ADAPALENE; CLINDAMYCIN PHOSPHATE,2.5 g/100 mL; .1 g/100 mL; 1 g/100 mL,,72934-1411-2,"30 mL in 1 BOTTLE, PUMP (72934-1411-2) ",2023-2
72934-2323,HUMAN COMPOUNDED DRUG,Diasoxia Cream,011554 DAPSONE 8.5% / NIACINAMIDE 4% Cream,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,DAPSONE; NIACINAMIDE,8.5 g/100 mL; 4 g/100 mL,,72934-2323-2,"30 mL in 1 BOTTLE, PUMP (72934-2323-2) ",2023-2
73271-0180,HUMAN COMPOUNDED DRUG,TESTOSTERONE 18 PEL,TESTOSTERONE 18 PEL,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd Pharmaceuticals,TESTOSTERONE,18 mg,CIII,73271-0180-1,1 PELLET in 1 VIAL (73271-0180-1) ,2023-2
73271-1100,HUMAN COMPOUNDED DRUG,TESTOSTERONE 100 PEL,TESTOSTERONE 100 PEL,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd Pharmaceuticals,TESTOSTERONE,100 mg,CIII,73271-1100-1,1 PELLET in 1 VIAL (73271-1100-1) ,2023-2
73271-0754,HUMAN COMPOUNDED DRUG,TESTOSTERONE/ANASTRAZOLE 75 MG/4 MG,TESTOSTERONE/ANASTRAZOLE 75 MG/4 MG,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd Pharmaceuticals,ANASTROZOLE; TESTOSTERONE,4 mg; 75 mg,CIII,73271-0754-1,1 PELLET in 1 VIAL (73271-0754-1) ,2023-2
73271-1011,HUMAN COMPOUNDED DRUG,LIDOCAINE/ PRILOCAINE/ TETRACAINE 10/10/4 % 30 g THICK MINT DYE FREE,LIDOCAINE/ PRILOCAINE/ TETRACAINE 10/10/4 % 30 g THICK MINT DYE FREE,GEL,DENTAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd Pharmaceuticals,LIDOCAINE; PRILOCAINE; TETRACAINE,.107 g; .1 g; .04 g,,73271-1011-1,1 GEL in 1 JAR (73271-1011-1) ,2023-2
79559-1303,HUMAN COMPOUNDED DRUG,S-T303,S-T303,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),F. H. Investments. Inc. DBA Asteria Health,TESTOSTERONE,303 mg/303 mg,CIII,79559-1303-1,"303 mg in 1 VIAL, PLASTIC (79559-1303-1) ",2023-2
70713-055,HUMAN COMPOUNDED DRUG,TESTOSTERONE C 200MG,TESTOSTERONE C 200MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,200 mg,CIII,70713-055-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-055-01) ",2023-2
70713-002,HUMAN COMPOUNDED DRUG,TESTOSTERONE SA2 100MG,TESTOSTERONE SA2 100MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,100 mg,CIII,70713-002-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-002-01) ",2023-2
70713-033,HUMAN COMPOUNDED DRUG,TESTOSTERONE SA2 62.5MG,TESTOSTERONE SA2 62.5MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,62.5 mg,CIII,70713-033-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-033-01) ",2023-2
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-02,"5 mL in 1 SYRINGE, PLASTIC (73177-102-02) ",2024-1
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-27,100 mL in 1 BAG (73177-102-27) ,2024-1
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-03,"10 mL in 1 SYRINGE, PLASTIC (73177-102-03) ",2024-1
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-25,250 mL in 1 BAG (73177-102-25) ,2024-1
71285-0005,HUMAN COMPOUNDED DRUG,Reperfusate 4 to1 NO K 238.75ml Bag,Reperfusate 4 to1 NO K 238.75ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",2.45392 g/238.75 mL; 2.0268 g/238.75 mL; 2.67928 g/238.75 mL; 6.09 g/238.75 mL; 14.8069 g/238.75 mL; 26.1232 g/238.75 mL; 1.84101 g/238.75 mL; 1.24986 g/238.75 mL,,71285-0005-1,238.75 mL in 1 BAG (71285-0005-1) ,2023-1
72055-013,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",SUCCINYLCHOLINE CHLORIDE,100 mg/5 mL,,72055-013-01,"5 mL in 1 SYRINGE, PLASTIC (72055-013-01) ",2023-1
72055-012,HUMAN COMPOUNDED DRUG,Iohexol,iohexol,"INJECTION, SOLUTION",INTRAVENOUS; ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",IOHEXOL,300 mg/1 mL,,72055-012-07,"8 mL in 1 SYRINGE, PLASTIC (72055-012-07) ",2023-1
71300-6555,HUMAN COMPOUNDED DRUG,Dexamethasone sodium phosphate and Lidocaine HCl,Dexamethasone sodium phosphate and Lidocaine HCl,"INJECTION, SOLUTION",INTRA-ARTICULAR; SOFT TISSUE; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",DEXAMETHASONE SODIUM PHOSPHATE; LIDOCAINE HYDROCHLORIDE,3.33 mg/1 mL; 6.67 mg/1 mL,,71300-6555-1,1.5 mL in 1 BOX (71300-6555-1) ,2023-1
